"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
140,"0742-0463","1819-7108","Journal of Volcanology and Seismology (рус. Вулканология и сейсмология)","Journal of Volcanology and Seismology","(рус. Вулканология и сейсмология)","GeoRef, Scopus, Springer, WoS(SCIE)","да","да","","","да","да","",""
141,"0023-1584","1608-3210","Kinetics and Catalysis (рус. Кинетика и катализ)","Kinetics and Catalysis","(рус. Кинетика и катализ)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
142,"2076-8214","2078-1938","Laboratorium / LABORATORIUM-RUSSIAN REVIEW OF SOCIAL RESEARCH","Laboratorium / LABORATORIUM-RUSSIAN REVIEW OF SOCIAL RESEARCH",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
143,"1054-660X","1555-6611","Laser Physics (England)","Laser Physics","(England)","CA(pt), Scopus, WoS(SCIE)","да","да","да","","","","",""
144,"1612-2011","1612-202X","Laser Physics Letters (England)","Laser Physics Letters","(England)","CA(pt), Scopus, WoS(SCIE)","да","да","да","","","","",""
145,"1068-9761","","Light and Engineering (рус. Светотехника)","Light and Engineering","(рус. Светотехника)","Scopus, WoS(SCIE)","да","да","","","","","",""
146,"0024-4902","1608-3229","Lithology and Mineral Resources (рус. Литология и полезные ископаемые)","Lithology and Mineral Resources","(рус. Литология и полезные ископаемые)","CA(pt), GeoRef, Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","",""
147,"1995-0802","1818-9962","Lobachevskii Journal of Mathematics (USA)","Lobachevskii Journal of Mathematics","(USA)","MathSciNet, Scopus, Springer, WoS(ESCI), zbMATH","да","да","","","да","","да","да"
148,NA,"2072-5981","Magnetic Resonance in Solids","Magnetic Resonance in Solids",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
149,"1238-5018","2415-3613","Manuscripta Orientalia","Manuscripta Orientalia",NA,"Scopus","да","","","","","","",""
150,"1024-2953","","Markov Processes and Related Fields","Markov Processes and Related Fields",NA,"MathSciNet, Scopus, WoS(SCIE), zbMATH","да","да","","","","","да","да"
151,"1605-2730","1605-8119","Materials Physics and Mechanics","Materials Physics and Mechanics",NA,"CA(pt ,)  Scopus, WoS(ESCI)","да","да","да","","","","",""
152,"1066-5307","1934-8045","Mathematical Methods of Statistics","Mathematical Methods of Statistics",NA,"Scopus, Springer, WoS(ESCI), zbMATH","да","да","","","да","","","да"
153,"2070-0482","2070-0490","Mathematical Models and Computer Simulations (USA, рус. Математическое моделирование)","Mathematical Models and Computer Simulations","(USA, рус. Математическое моделирование)","MathSciNet, Scopus (а), Springer (а), WoS(SCIE) (а), zbMATH (р)","да","да","","","да","","да","да"
154,"0001-4346","1573-8876","Mathematical Notes (USA, рус. Математические заметки)","Mathematical Notes","(USA, рус. Математические заметки)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
155,"0543-1972","1573-8906","Measurement Techniques (USA, рус. Измерительная техника; Метрология)","Measurement Techniques","(USA, рус. Измерительная техника; Метрология)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
156,"0025-6544","1934-7936","Mechanics of Solids (USA, рус. Известия Российской академии наук. Механика твердого тела)","Mechanics of Solids","(USA, рус. Известия Российской академии наук. Механика твердого тела)","Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","","да"
157,"0959-9436","1364-551X","Mendeleev Communications (Netherlands)","Mendeleev Communications","(Netherlands)","CA(core), Scopus, WoS(SCIE)","да","да","да","","","","",""
158,"0026-0673","1573-8973","Metal Science and Heat Treatment (USA, рус. Металловедение и термическая обработка металлов)","Metal Science and Heat Treatment","(USA, рус. Металловедение и термическая обработка металлов)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
159,"0026-0894","1573-8892","Metallurgist (рус. Металлург)","Metallurgist","(рус. Металлург)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
160,"0026-2617","1608-3237","Microbiology (USA, рус. Микробиология)","Microbiology","(USA, рус. Микробиология)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
161,"0026-8933","1608-3245","Molecular Biology (USA, рус. Молекулярная биология)","Molecular Biology","(USA, рус. Молекулярная биология)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
162,"0891-4168","1934-841X","Molecular Genetics, Microbiology and Virology (рус. Молекулярная генетика, микробиология и вирусология)","Molecular Genetics, Microbiology and Virology","(рус. Молекулярная генетика, микробиология и вирусология)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
163,"1609-3321","1609-4514","Moscow Mathematical Journal","Moscow Mathematical Journal",NA,"MathSciNet, Scopus, WoS(SCIE), zbMATH","да","да","","","","","да","да"
164,"0096-3925","1934-791X","Moscow University Biological Sciences Bulletin (рус. Вестник Московского университета. Серия 16. Биология)","Moscow University Biological Sciences Bulletin","(рус. Вестник Московского университета. Серия 16. Биология)","Scopus, Springer","да","","","","да","","",""
165,"0027-1314","1935-0260","Moscow University Chemistry Bulletin (рус. Вестник Московского университета. Серия 2. Химия)","Moscow University Chemistry Bulletin","(рус. Вестник Московского университета. Серия 2. Химия)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
166,"0278-6419","1934-8428","Moscow University Computational Mathematics and Cybernetics (рус. Вестник Московского университета. Серия 15. Вычислительная математика и кибернетика)","Moscow University Computational Mathematics and Cybernetics","(рус. Вестник Московского университета. Серия 15. Вычислительная математика и кибернетика)","Springer,  zbMATH","","","","","да","","","да"
167,"0145-8752","1934-8436","Moscow University Geology Bulletin (USA, рус. Вестник МГУ. Серия Геология)","Moscow University Geology Bulletin","(USA, рус. Вестник МГУ. Серия Геология)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
168,"0027-1322","1934-8444","Moscow University Mathematics Bulletin (USA, рус. Вестник МГУ. Серия Математика. Механика)","Moscow University Mathematics Bulletin","(USA, рус. Вестник МГУ. Серия Математика. Механика)","Scopus, Springer, WoS(ESCI), zbMATH","да","да","","","да","","","да"
